,nome,local,estado,payrate,housing
59,Spring Mountain Adventures,Spring Mount ,pa,"['8,00', '12,00']","USD 25,00 por pessoa, por semana. Mais detalhes na Job Description;"
60,Nemacolin Woodlands Resort, Farmington ,pa,"Entre USD 5,15 + tips a USD 14,00 por hora","USD 110,00 por pessoa, por semana"
61,Kalahari Resorts,Pocono Manor ,pa,"['11,00', '12,00']","USD 120,00 por pessoa, por semana."
62,Ocean House,Watch Hill ,ri,"['14,00']","USD 125,00 por pessoa, por semana"
63,Dairy Queen,Florence ,sc,['9'],0
64,Safeway,Rapid City ,sd,"['13,00']","USD 125,00 por semana, por pessoa"
65,Wilderness at the Smokies,Sevierville ,tn,"['11,00', '13,00']","USD 90,00 por pessoa, por semana."
66,Gaylord Opryland,"Nashville, Tennessee ",tn,"['16,00']","USD 225,00 por pessoa, por semana"
67,Ober Gatlinburg,Gatlinburg ,tn,"['14,00']","USD 100,00 a USD 125,00 por pessoa, por semana"
68,Kalahari Resorts,Round Rock ,tx,"['11,00', '12,00']","USD 110,00 por pessoa, por semana."
69,Deer Valley Resort,Park City ,ut,"['11,00', '16,00']","USD 185,50 por pessoa, por semana."
70,Eagle Point Resort,Beaver ,ut,"Entre USD 7,50 + tips a USD 13,00 a hora",
71,Woodstock Inn & Resort,Woodstock ,vt,"Entre USD 7,00 + tips a USD 14,00 por hora","USD 100,00 por pessoa, por semana."
72,Killington Vacation Rentals,Killington ,vt,"['18,00']","USD 500,00 por pessoa, por mês. Mais detalhes na Job Description"
73,The Lodge at Mount Snow,West Dover ,vt,"['13,00']",0
74,Killington Market Inc.. Grocery Store,Killington ,vt,"['14,00', '17,00']",
75,Killington Mountain Lodge,Killington ,vt,"['11,75']","USD 50,00 por pessoa, por semana"
76,Dunkin Donuts,Várias cidades ,vt,"['14,00']","USD 150,00 por pessoa, por semana."
77,The Lodge at Spruce Peak,Stowe ,vt,"['15,00']","USD 140,00 por pessoa, por semana."
78,Great Wolf Lodge,Williamsburg ,va,"['16,00', '17,00']","USD 125,00 por semana, por pessoa"
79,Sheraton Old Town Alexandria,Alexandria ,va,"['15,00']","USD 125,00 por pessoa, por semana."
80,Cracker Barrel,Williamsburg ,va,"USD 2,13 + tips a USD 16,00 por hora","USD 100,00 por pessoa, por semana."
81,Snowshoe Mountain Resort,Snowshoe ,wv,"['10,00', '15,00']","USD 300,00 a USD 600,00 por pessoa, por mês."
82,Canaan Valley,Devis ,wv,"['8.75', '10,00']",
83,Little Switzerland,Slinger ,wi,"['14,00']","USD 75,00 por pessoa, por semana"
84,The Vue Boutique Hotel and Restaurant,Wisconsin Dells ,wi,"['12,00']","USD 100,00 por pessoa, por semana."
85,Great Wolf Lodge,Wisconsin Dells ,wi,"['12,50', '15,50']","USD 95,00 por semana, por pessoa"
86,Moosejaw Pizza and Dells Brewing. Restaurant,Wisconsin Dells ,wi,"['10,00']",
87,Grand Geneva Resort & Spa,Lake Geneva ,wi,"['12,00']", 75
88,Chula Vista Resort & Water Park,Wisconsin Dells ,wi,"['11,00']","USD 95,00 por semana, por pessoa"
89,Kalahari Resorts, Wisconsin Dells ,wi,"['10,00']","USD 155,00 por pessoa, por semana."
90,MNEG Concessions inside Mt Olympus,Wisconsin Dells ,wi,['10'],"USD 100 por pessoa, por semana."
91,McDonalds,Wisconsin ,wi,['12'],USD 85 por pessoa por semana
92,Cascade Mountain,Portage ,wi,"['13,00', '14,00']","USD 70,00 por pessoa, por semana"
93,Mt Olympus,Wisconsin Dells ,wi,"['11,00', '12,00']","USD 95,00 a USD 100,00 por pessoa, por semana."
94,Wilderness,Wisconsin Dells ,wi,"['12,00', '15,00']","USD 95,00 por pessoa, por semana."
95,The Cloudveil,Jsckson ,wy,"['18,55']","USD 650,00 por pessoa, por mês."
96,Virginian Lodge,Jackson ,wy,"Entre USD 12,00 + tips e USD 19,00 por hora",
97,Snake River Lodge,Jackson Hole ,wy,"['18,00', '27,00']","USD 125,00 por pessoa, por semana. Mais detalhes na Job Description;"
98,Terra Hotel – At Teton Village,Jackson Hole ,wy,"['17,00']","USD 200,00 por pessoa, a cada duas semanas."
99,Mountain Modern Motel,Jackson ,wy,"['17,00', '18,00']","USD 650,00 por pessoa, por mês."
100,Grand Targhee Resort,Alta ,wy,"['16,00', '17,00']","USD 350,00 a USD 450,00 por pessoa, por mês."
101,Four Seasons Resort Jackson Hole,Teton Village ,wy,"Entre USD 10,36 + tips a USD 19,10 por hora","USD 750,00 a USD 900,00 por pessoa, por mês. Mais detalhes na Job Description."
